Faculdade;Curso;Turma;Disciplina;Professor
FACHS;FISIOTERAPIA;FISIO-MA5;ELETRO-TERMO-FOTOTERAPIA;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA5;ELETRO-TERMO-FOTOTERAPIA;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA5;FARMACOLOGIA;MARIO LUIS RIBEIRO CESARETTI
FACHS;FISIOTERAPIA;FISIO-MA5;FARMACOLOGIA;MARIO LUIS RIBEIRO CESARETTI
FACHS;FISIOTERAPIA;FISIO-MA5;FARMACOLOGIA;MARIO LUIS RIBEIRO CESARETTI
FACHS;FISIOTERAPIA;FISIO-MA5;FARMACOLOGIA;MARIO LUIS RIBEIRO CESARETTI
FACHS;FISIOTERAPIA;FISIO-MA5;CINESIOTERAPIA;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA5;CINESIOTERAPIA;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA5;CINESIOTERAPIA;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA5;CINESIOTERAPIA;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA5;EXAMES COMPLEMENTARES;MARIO LUIS RIBEIRO CESARETTI
FACHS;FISIOTERAPIA;FISIO-MA5;EXAMES COMPLEMENTARES;MARIO LUIS RIBEIRO CESARETTI
FACHS;FISIOTERAPIA;FISIO-MA5;EXAMES COMPLEMENTARES;MARIO LUIS RIBEIRO CESARETTI
FACHS;FISIOTERAPIA;FISIO-MA5;EXAMES COMPLEMENTARES;MARIO LUIS RIBEIRO CESARETTI
FACHS;FISIOTERAPIA;FISIO-MA5;ESTUDOS ORIENTADOS: POLÍTICA PÚBLICA EM SAÚDE;-
FACHS;FISIOTERAPIA;FISIO-MA5;ESTUDOS ORIENTADOS: POLÍTICA PÚBLICA EM SAÚDE;-
FACHS;FISIOTERAPIA;FISIO-MA5;FISIOTERAPIA CLÍNICA EM DERMATOLOGIA;LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-MA5;FISIOTERAPIA CLÍNICA EM DERMATOLOGIA;LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-MA5;FISIOTERAPIA CLÍNICA EM DERMATOLOGIA;LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-MA5;FISIOTERAPIA CLÍNICA EM DERMATOLOGIA;LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-MA5;FISIOTERAPIA CLÍNICA EM DERMATOLOGIA;LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-MA5;FISIOTERAPIA CLÍNICA EM DERMATOLOGIA;LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-MA5;FISIOTERAPIA PREVENTIVA E ERGONOMIA;LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-MA5;FISIOTERAPIA PREVENTIVA E ERGONOMIA;LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-MA5;FISIOTERAPIA PREVENTIVA E ERGONOMIA;LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-MA5;FISIOTERAPIA PREVENTIVA E ERGONOMIA;LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-MA5;FISIOTERAPIA PREVENTIVA E ERGONOMIA;LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-MA5;FISIOTERAPIA PREVENTIVA E ERGONOMIA;LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-MA5;FISIOTERAPIA CLÍNICA EM PRÓTESE, ÓRTESE E AMPUTAÇÃO;MARIANA CALLIL VOOS
